source,target,tgt_lng
Shyvana,Shyvana,id
Silco's Revenge,Silco's Revenge,id
Silver Destiny,Silver Destiny,id
Silver Spoon,Silver Spoon,id
Silvermere Dawn,Silvermere Dawn,id
Singed,Singed,id
Sion,Sion,id
Skarner,Skarner,id
Slayer,Slayer,id
Slayer Emblem,Emblem Slayer,id
Slightly Magic Roll,Slightly Magic Roll,id
Small Grab Bag,Small Grab Bag,id
Solo Plate,Solo Plate,id
Sona,Sona,id
Soul Awakening,Soul Awakening,id
Soulbound,Soulbound,id
Sparring Gloves,Sparring Gloves,id
Spatula,Spatula,id
Spear of Shojin,Spear of Shojin,id
Spear's Will,Spear's Will,id
Spectral Cutlass,Spectral Cutlass,id
Spirit Visage,Spirit Visage,id
Spirit of Redemption,Spirit of Redemption,id
Spreading Roots,Spreading Roots,id
Staffsmith,Staffsmith,id
Stand United,Stand United,id
Star Forger,Star Forger,id
Stars Are Born,Stars Are Born,id
Starter Kit,Starter Kit,id
Statikk Shiv,Statikk Shiv,id
Steadfast Heart,Steadfast Heart,id
Sterak's Gage,Sterak's Gage,id
Striker's Flail,Striker's Flail,id
Sunfire Cape,Sunfire Cape,id
Superior Lifeform,Superior Lifeform,id
Suspicious Trench Coat,Suspicious Trench Coat,id
Swain,Swain,id
Sweet Treats,Sweet Treats,id
Sword Overflow,Sword Overflow,id
Swordsmith,Swordsmith,id
Sylas,Sylas,id
Syren's Broadside,Syren's Broadside,id
T-Hex,T-Hex,id
Tactician's Cape,Tactician's Cape,id
Tactician's Crown,Tactician's Crown,id
Tactician's Shield,Tactician's Shield,id
Tahm Kench,Tahm Kench,id
Talisman Of Ascension,Talisman Of Ascension,id
Targon,Targon,id
Taric,Taric,id
Teaming Up,Teaming Up,id
Tear of the Goddess,Tear of the Goddess,id
Teemo,Teemo,id
The Axiomata,The Axiomata,id
The Boss,The Boss,id
The Golden Dragon,The Golden Dragon,id
The Indomitable,The Indomitable,id
The Ruined King,The Ruined King,id
The Trait Tree,The Trait Tree,id
The World Runes,World Rune,id
Thief's Gloves,Thief's Gloves,id
Thorn-Plated Armor,Thorn-Plated Armor,id
Thresh,Thresh,id
Timewinders,Timewinders,id
"Tiny, but Deadly","Tiny, but Deadly",id
Titan's Resolve,Titan's Resolve,id
Titanic Hydra,Titanic Hydra,id
Tome of Traits,Tome of Trait,id
Tons of Stats!,Tons of Stats!,id
Trade Sector,Trade Sector,id
Training Dummy,Training Dummy,id
Treasure Typhoon,Treasure Typhoon,id
Trials of Twilight,Trials of Twilight,id
Trifecta,Trifecta,id
Tristana,Tristana,id
Tryndamere,Tryndamere,id
Tuned Oscillator,Tuned Oscillator,id
Twin Guardians,Twin Guardian,id
Twisted Fate,Twisted Fate,id
Two Much Value,Two Much Value,id
Two Trick,Two Trick,id
U.R.F,U.R.F,id
U.R.F.,U.R.F,id
Unending Despair,Unending Despair,id
Unsealed From Steel,Unsealed From Steel,id
Unstable Core,Unstable Core,id
Upgrade!,Upgrade!,id
Upward Mobility,Upward Mobility,id
Vanquisher,Vanquisher,id
Vanquisher Emblem,Emblem Vanquisher,id
Vayne,Vayne,id
Veigar,Veigar,id
Vi,Vi,id
Viego,Viego,id
Virtue of the Martyr,Virtue of the Martyr,id
Void,Void,id
Void Emblem,Emblem Void,id
Void Gauntlet,Void Gauntlet,id
Void Staff,Void Staff,id
Volibear,Volibear,id
Voltage Conduit,Voltage Conduit,id
Wand Overflow,Wand Overflow,id
Warden,Warden,id
Warden Emblem,Emblem Warden,id
Warlord's Honor,Warlord's Honor,id
Warmog's Armor,Warmog's Armor,id
Warwick,Warwick,id
Water Axiom,Water Axiom,id
We Stick Together,We Stick Together,id
Wild Growth,Wild Growth,id
Win Out,Win Out,id
Wit's End,Wit's End,id
Withered Relic,Withered Relic,id
Wood Axiom,Wood Axiom,id
World Ender,World Ender,id
Woven Magic,Woven Magic,id
Wukong,Wukong,id
Xerath,Xerath,id
Xin Zhao,Xin Zhao,id
Yasuo,Yasuo,id
Yone,Yone,id
Yordle,Yordle,id
Yordle Emblem,Emblem Yordle,id
Yorick,Yorick,id
Yunara,Yunara,id
Zaahen,Zaahen,id
Zaun,Zaun,id
Zaun Emblem,Emblem Zaun,id
Zeke's Herald,Zeke's Herald,id
Zephyr,Zephyr,id
Ziggs,Ziggs,id
Zilean,Zilean,id
Zoe,Zoe,id
Zz'Rot Portal,Zz'Rot Portal,id
“塞壬号”的舷炮,Syren's Broadside,id
いつでも一緒,We Stick Together,id
おおきくなぁれ！,Wild Growth,id
お得な2,Two Much Value,id
ここがセンター,Find Your Center,id
たっぷりリロール,Hefty Rolls,id
ちょっとだけ魔法のダイス,Slightly Magic Roll,id
へら,Spatula,id
もっと怖いキャップ,Deadlier Caps,id
アイオニア,Ionia,id
アイオニアの紋章,Emblem Ionia,id
アイオニック スパーク,Ionic Spark,id
アイテム福袋,Item Grab Bag,id
アクシオマタ,The Axiomata,id
アクセルゲート,Acceleration Gate,id
アシミレーター,Assimilator,id
アジール,Azir,id
アセンション,Ascension,id
アダプティブ ヘルム,Adaptive Helm,id
アッシュ,Ashe,id
アップグレード！,Upgrade!,id
アニビア,Anivia,id
アニー,Annie,id
アフェリオス,Aphelios,id
アルカニスト,Arcanist,id
アルカニストの紋章,Emblem Arcanist,id
アンベッサ,Ambessa,id
アークエンジェル スタッフ,Archangel's Staff,id
アーマー ナリファイア,Armor Nullifier,id
アーリ,Ahri,id
イシュタル,Ixtal,id
イシュタルの紋章,Emblem Ixtal,id
イモータル,Immortal,id
イラオイ,Illaoi,id
インフィニティ エッジ,Infinity Edge,id
インヴォーカー,Invoker,id
インヴォーカーの紋章,Emblem Invoker,id
イーブンシュラウド,Evenshroud,id
ウィッツ エンド,Wit's End,id
ウォーロードの名誉,Warlord's Honor,id
ウーコン,Wukong,id
エイトロックス,Aatrox,id
エグザイル,Exiles,id
エコー,Ekko,id
エコーエンジン,Echo Engine,id
エターナル,Eternal,id
エピックなロールダウン,Epic Rolldown,id
エルダードラゴン,Elder Dragon,id
エレクトリカル オーバーロード,Electrical Overload,id
エンペラー,Emperor,id
オリアナ,Orianna,id
オレリオン・ソル,Aurelion Sol,id
オーバークロック コンデンサー,Overclocked Capacitors,id
オーン,Ornn,id
カイ＝サ,Kai'Sa,id
カナとカネ,Iron Assets,id
カフナフナ,Kahunahuna,id
カリスタ,Kalista,id
ガリオ,Galio,id
ガレン,Garen,id
ガングプランク,Gangplank,id
ガンスリンガー,Gunslinger,id
ガンスリンガーの紋章,Emblem Gunslinger,id
ガーゴイル ストーンプレート,Gargoyle Stoneplate,id
キネティックバリア,Kinetic Barrier,id
キャプテンの帽子,Captain's Hat,id
キャプテンの醸造酒,Captain's Brew,id
キヤナ,Qiyana,id
キンドレッド,Kindred,id
ギリギリの救出,Last Second Save,id
クイックシルバー,Quicksilver,id
クラウンの決意,Crown's Will,id
クラウンガード,Crownguard,id
クラーケンの怒り,Kraken's Fury,id
クロノキーパー,Chronokeeper,id
グインソー レイジブレード,Guinsoo's Rageblade,id
グウェン,Gwen,id
グラスキャノン,Glass Cannon,id
グラットン,Glutton,id
グレイブス,Graves,id
ケアテイカー,Caretaker,id
ケイトリン,Caitlyn,id
ケネン,Kennen,id
ケンカの作法,Blast Shield,id
コグ＝マウ,Kog'Maw,id
コブコ&ユーミ,Kobuko & Yuumi,id
コマース コア,Commerce Core,id
コンパニオン作成,Construct a Companion,id
ゴールドの運命,Gold Destiny,id
ゴールドの雨,Raining Gold,id
ゴーレム,Golem,id
ゴーレム化,Golemify,id
サイオン,Sion,id
サイラス,Sylas,id
サンファイア ケープ,Sunfire Cape,id
ザ・ボス,The Boss,id
ザーヘン,Zaahen,id
シェン,Shen,id
シマースケールのエッセンス,Shimmerscale Essence,id
シャドウアイル,Shadow Isles,id
シュリーマ,Shurima,id
ショウジンの矛,Spear of Shojin,id
シルコの復讐,Silco's Revenge,id
シルバーの運命,Silver Destiny,id
シルバーミアの夜明け,Silvermere Dawn,id
シンジド,Singed,id
シン・ジャオ,Xin Zhao,id
シヴァーナ,Shyvana,id
シーカー アームガード,Seeker's Armguard,id
ジグス,Ziggs,id
ジャイアント スレイヤー,Giant Slayer,id
ジャイアント ベルト,Giant's Belt,id
ジャイアント&マイティ,Giant and Mighty,id
ジャガーノート,Juggernaut,id
ジャガーノートの紋章,Emblem Juggernaut,id
ジャストヒット,Just Hit,id
ジャーヴァンⅣ,Jarvan IV,id
ジュエル ガントレット,Jeweled Gauntlet,id
ジュエル ロータス,Jeweled Lotus,id
ジリアン,Zilean,id
ジン,Jhin,id
ジンクス,Jinx,id
ジークの使者,Zeke's Herald,id
ジ＝ロット ポータル,Zz'Rot Portal,id
スウェイン,Swain,id
スカーナー,Skarner,id
スタティック シヴ,Statikk Shiv,id
スターターキット,Starter Kit,id
スターフォージャー,Star Forger,id
スター誕生,Stars Are Born,id
ステラックの篭手,Sterak's Gage,id
ステータスマシマシ,Tons of Stats!,id
ストライカー フレイル,Striker's Flail,id
スパーリング グローブ,Sparring Gloves,id
スピリット ビサージュ,Spirit Visage,id
スペクトラル カトラス,Spectral Cutlass,id
スレイヤー,Slayer,id
スレイヤーの紋章,Emblem Slayer,id
スレッシュ,Thresh,id
セイレーン号の片舷砲,Syren's Broadside,id
セジュアニ,Sejuani,id
セト,Sett,id
セラフィムの杖,Seraphim's Staff,id
セラフィーン,Seraphine,id
ゼファー,Zephyr,id
ゼラス,Xerath,id
ソウルの目覚め,Soul Awakening,id
ソウルバウンド,Soulbound,id
ソナ,Sona,id
ソラリのロケット,Locket of the Iron Solari,id
ソード オーバーフロー,Sword Overflow,id
ソーンプレートアーマー,Thorn-Plated Armor,id
ゾウン,Zaun,id
ゾウンの紋章,Emblem Zaun,id
ゾーイ,Zoe,id
タイタン ハイドラ,Titanic Hydra,id
タイムワインダー,Timewinders,id
タクティシャンのケープ,Tactician's Cape,id
タクティシャンの王冠,Tactician's Crown,id
タクティシャンの盾,Tactician's Shield,id
タム・ケンチ,Tahm Kench,id
タリック,Taric,id
ターゴン,Targon,id
ダイアナ,Diana,id
ダブルトラブル,Double Trouble,id
ダミー,Training Dummy,id
ダミー化,Dummify,id
ダリウス,Darius,id
ダーキン,Darkin,id
ダークウィルの侵略,Darkwill's Invasion,id
ダークチャイルド,Dark Child,id
チェイン ベスト,Chain Vest,id
チェインブレイカー,Chainbreaker,id
チューンド オシレーター,Tuned Oscillator,id
チョ＝ガス,Cho'Gath,id
ツイステッド・フェイト,Twisted Fate,id
ツインガーディアン,Twin Guardian,id
ティーモ,Teemo,id
ディスラプター,Disruptor,id
ディスラプターの紋章,Emblem Disruptor,id
ディフェンダー,Defender,id
ディフェンダーの紋章,Emblem Defender,id
デスブレード,Deathblade,id
デッド マン ダガー,Dead Man's Dagger,id
デッドリアー ブレード,Deadlier Blades,id
デマーシア,Demacia,id
デマーシアの紋章,Emblem Demacia,id
デマーシアよ永遠に,Demacia Forever,id
デュオキュー,Duo Queue,id
トライフェクタ,Trifecta,id
トリスターナ,Tristana,id
トリンダメア,Tryndamere,id
トレードセクター,Trade Sector,id
ドクター・ムンド,Dr. Mundo,id
ドラゴン クロウ,Dragon's Claw,id
ドラゴンの守護者,Dragonguards,id
ドラゴンボーン,Dragonborn,id
ドレイヴン,Draven,id
ドレッドウェイの砲撃,Dreadway Cannon,id
ドーンコア,Dawncore,id
ナイト エッジ,Edge of Night,id
ナサス,Nasus,id
ナッシャー トゥース,Nashor's Tooth,id
ニダリー,Nidalee,id
ニーコ,Neeko,id
ネガトロン クローク,Negatron Cloak,id
ノクサス,Noxus,id
ノクサスの紋章,Emblem Noxus,id
ノーチラス,Nautilus,id
ハントレス,Huntress,id
ハンド オブ ジャスティス,Hand Of Justice,id
ハーベスター,Harvester,id
バイナリー空中投下,Binary Airdrop,id
バフが1つ、バフが2つ,"One Buff, Two Buff",id
バロンナッシャー,Baron Nashor,id
バークナックル,Barknuckles,id
バースデー リユニオン,Birthday Reunion,id
バースデープレゼント,Birthday Present,id
バード,Bard,id
パンドラのアイテム,Pandora's Items,id
パンドラのベンチ,Pandora's Bench,id
ヒロイック,Heroic,id
ヒーリングオーブ,Healing Orbs,id
ビッグフレンド,Big Friend,id
ビルジウォーター,Bilgewater,id
ビルジウォーターの小型チャンピオン複製器,Bilgewater Lesser Champion Duplicator,id
ビルジウォーターの紋章,Emblem Bilgewater,id
ピルトーヴァー,Piltover,id
ピルトーヴァーの発明品,Piltover Invention,id
ピルトーヴァーの紋章,Emblem Piltover,id
フィズ,Fizz,id
フィッシュボーン,Fishbones,id
フィドルスティックス,Fiddlesticks,id
フォビドゥン アイドル,Forbidden Idol,id
フライパン,Frying Pan,id
フリッカーブレード,Flickerblade,id
フレヨルド,Freljord,id
フレヨルドの紋章,Emblem Freljord,id
ブライアー,Briar,id
ブラウム,Braum,id
ブラックスミス,Blacksmith,id
ブラックマーケットの再入荷,Black Market Restock,id
ブラックマーケットの爆発物,Blackmarket Explosives,id
ブラッドサースター,Bloodthirster,id
ブランブル ベスト,Bramble Vest,id
ブリッツクランク,Blitzcrank,id
ブルーザー,Bruiser,id
ブルーザーの紋章,Emblem Bruiser,id
ブルーバフ,Blue Buff,id
ブロック,Brock,id
プラシディウムの防衛,Defense of the Placidium,id
プラシーボ,Placebo,id
プリズムの運命,Prismatic Destiny,id
プリズムチケット,Prismatic Ticket,id
プロテクターの誓い,Protector's Vow,id
プローラー クロウ,Prowler's Claw,id
ヘクスゲート トラベル,Hexgate Travel,id
ヘクステック ガンブレード,Hextech Gunblade,id
ヘクスメック,HexMech,id
ヘッジファンド,Hedge Fund,id
ベイガー,Veigar,id
ベストフレンド,Best Friends,id
ベルト オーバーフロー,Belt Overflow,id
ベル＝ヴェス,Bel'Veth,id
ホライゾン フォーカス,Horizon Focus,id
ボクシングのレッスン,Boxing Lessons,id
ボディーガードの訓練,Bodyguard Training,id
ボリベア,Volibear,id
ポイズンパル,Poison Pals,id
ポッピー,Poppy,id
ポータブル フォージ,Portable Forge,id
ポータルワープ,Realm Warp,id
マイクロロケット,Micro-Rockets,id
マグネトロンコイル,Magnetron Coil,id
マルザハール,Malzahar,id
マーターズ ヴァーチュ,Virtue of the Martyr,id
ミスコネクション,Missed Connections,id
ミス・フォーチュン,Miss Fortune,id
ミッションの再開,Restart Mission,id
ミトン,Mittens,id
ミニマックス,Min-Max,id
ミリオ,Milio,id
ムダニ デカイ ロッド,Needlessly Large Rod,id
メイスの決意,Mace's Will,id
メル,Mel,id
モメンタムドライブ,Momentum Drive,id
モレロノミコン,Morellonomicon,id
ヤスオ,Yasuo,id
ユナラ,Yunara,id
ヨネ,Yone,id
ヨリック,Yorick,id
ヨードル,Yordle,id
ヨードルの紋章,Emblem Yordle,id
ライズ,Ryze,id
ライトシールドのクレスト,Lightshield Crest,id
ラインナップ,Lineup,id
ラスト ウィスパー,Last Whisper,id
ラッキーグローブ,Lucky Gloves,id
ラックス,Lux,id
ラバドン デスキャップ,Rabadon's Deathcap,id
ラピッド ファイアキャノン,Rapid Firecannon,id
ランブル,Rumble,id
リカーブ ボウ,Recurve Bow,id
リサンドラ,Lissandra,id
リッチ ベイン,Lich Bane,id
リデンプションの魂,Spirit of Redemption,id
リフティング大会,Lifting Competition,id
リフトスカトル,Rift Scuttler,id
リフトスカージ,Riftscourge,id
リフトヘラルド,Rift Herald,id
ルシアン&セナ,Lucian & Senna,id
