source,target,tgt_lng
Birthday Reunion,Sinh Nhật Đoàn Tụ,vi
Black Market Restock,Nguồn Hàng Bất Chính,vi
Blackmarket Explosives,Chất Nổ Chợ Đen,vi
Blacksmith,Thần Rèn,vi
Blast Shield,Giáp Chống Chất Nổ,vi
Blighting Jewel,Đá Hắc Hóa,vi
Blitzcrank,Blitzcrank,vi
Blood Offering,Huyết Tế,vi
Bloodthirster,Huyết Kiếm,vi
Blue Buff,Bùa Xanh,vi
Bodyguard Training,Huấn Luyện Cận Vệ,vi
Boxing Lessons,Tập Chịu Đòn,vi
Bramble Vest,Áo Choàng Gai,vi
Branching Out,Phân Nhánh,vi
Braum,Braum,vi
Briar,Briar,vi
Brigand's Dice,Xúc Xắc Đạo Tặc,vi
Bringer of Ruin,Kẻ Tàn Phá,vi
Brock,Brock,vi
Bronze For Life,Tất Tay Bậc Đồng,vi
Bruiser,Đấu Sĩ,vi
Bruiser Emblem,Ấn Đấu Sĩ,vi
Buried Treasures,Kho Báu Chôn Giấu,vi
Caitlyn,Caitlyn,vi
Cappa Juice,Nước Cappa,vi
Captain's Brew,Men Rượu Thuyền Trưởng,vi
Captain's Hat,Mũ Thuyền Trưởng,vi
Care Package,Gói Bảo Hộ,vi
Caretaker,Ông Bụt,vi
Caretaker's Ally,Đồng Minh Của Bụt,vi
Celestial Blessing,Phước Lành Vũ Trụ,vi
Chain Vest,Giáp Lưới,vi
Chainbreaker,Kẻ Phá Xiềng,vi
Chalice of Power,Cốc Sức Mạnh,vi
Chaotic Evolution,Tiến Hóa Bất Định,vi
Cho'Gath,Cho'Gath,vi
Chosen Wolves,Chiến Lang,vi
Chronokeeper,Giám Hộ,vi
Commerce Core,Trung Tâm Thương Mại,vi
Component Buffet,Đại Tiệc Trang Bị,vi
Construct a Companion,Người Bạn Vàng,vi
Continuum Cogs,Bánh Răng Liên Luân,vi
Cooking Pot,Nồi Nấu Ăn,vi
Coronation,Lên Ngôi Vương,vi
Corrosion,Ăn Mòn,vi
Corrupt Vampiric Scepter,Huyết Trượng Tha Hóa,vi
Cosmic Calling,Vũ Trụ Triệu Gọi,vi
Crafted Crafting,Khéo Tay Hay Làm,vi
Crash Test Dummies,Hình Nộm Va Chạm,vi
Crown's Will,Ý Chí Vương Miện,vi
Crownguard,Vương Miện Hoàng Gia,vi
Cry Me A River,Giọt Lệ Bi Ai,vi
Cursed Blade,Kiếm Cong,vi
Cutthroat's Cutlass,Kiếm Sát Mệnh,vi
C位的觉悟,Tiền Vệ Trung Tâm,vi
DD街区,Khu Giao Dịch,vi
Darius,Darius,vi
Dark Child,Đứa Trẻ Bóng Tối,vi
Darkin,Darkin,vi
Darkwill's Invasion,Darkwill Xâm Lược,vi
Dawncore,Lõi Bình Minh,vi
Dead Man's Dagger,Dao Tử Sĩ,vi
Deadlier Blades,Kiếm Tử Thần,vi
Deadlier Caps,Mũ Tử Thần,vi
Deathblade,Kiếm Tử Thần,vi
Defender,Vệ Quân,vi
Defender Emblem,Ấn Vệ Quân,vi
Defense of the Placidium,Bảo Vệ Thiên Phận,vi
Demacia,Demacia,vi
Demacia Emblem,Ấn Demacia,vi
Demacia Forever,Demacia Trường Tồn,vi
Diana,Diana,vi
Disruptor,Nhiễu Loạn,vi
Disruptor Emblem,Ấn Nhiễu Loạn,vi
Double Trouble,Cặp Đôi Hoàn Cảnh,vi
Dr. Mundo,Dr. Mundo,vi
Dragon's Claw,Vuốt Rồng,vi
Dragonborn,Long Nữ,vi
Dragonguards,Long Binh,vi
Draven,Draven,vi
Dreadway Cannon,Đại Bác Dreadway,vi
Dummify,Hình Nhân Hóa,vi
Duo Queue,Hàng Chờ Đấu Đôi,vi
D个痛快！,Xúc Xắc Vô Tận,vi
E.M.P.,BOM ĐIỆN TỪ,vi
Earth Axiom,Nguyên Tố Đất,vi
Echo Engine,Động Cơ Dư Âm,vi
Edge of Night,Áo Choàng Bóng Tối,vi
Ekko,Ekko,vi
Elder Dragon,Rồng Ngàn Tuổi,vi
Electrical Overload,Quá Tải Điện,vi
Emperor,Hoàng Đế,vi
Epic Rolldown,Xúc Xắc Hoành Tráng,vi
Eternal,Vĩnh Hằng,vi
Eternal Pact,Khế Ước Vĩnh Hằng,vi
Evenshroud,Giáp Vai Nguyệt Thần,vi
Exclusive Customization,Lựa Chọn Độc Quyền,vi
Exiles,Độc Hành,vi
Expected Unexpectedness,Kỳ Vọng Bất Ngờ,vi
Explosive Growth,Tăng Trưởng Bùng Nổ,vi
Eye For An Eye,Ăn Miếng Trả Miếng,vi
Feed the Flames,Nếm Mùi Lửa,vi
Fiddlesticks,Fiddlesticks,vi
Find Your Center,Tiền Vệ Trung Tâm,vi
Fire Axiom,Nguyên Tố Lửa,vi
First Mate's Flintlock,Súng Kíp Thuyền Phó,vi
First One's Free!,Lần Đầu Không Tính Tiền!,vi
Fishbones,Pháo Xương Cá,vi
Fizz,Fizz,vi
Flickerblades,Đao Chớp,vi
Focused Fire,Tập Trung Hỏa Lực,vi
Forbidden Idol,Dị Vật Tai Ương,vi
Freljord,Freljord,vi
Freljord Emblem,Ấn Freljord,vi
Frying Pan,Chảo Vàng,vi
Galio,Galio,vi
Gangplank,Gangplank,vi
Garen,Garen,vi
Gargoyle Stoneplate,Thú Tượng Thạch Giáp,vi
Giant Slayer,Diệt Khổng Lồ,vi
Giant and Mighty,To Lớn & Mạnh Mẽ,vi
Giant's Belt,Đai Khổng Lồ,vi
Gigantification Ray,Tia Phóng Đại,vi
Gilded Steel,Thép Mạ Vàng,vi
Glass Cannon,Lấy Công Bù Thủ,vi
Glutton,Phàm Ăn,vi
Going Long,Thích Mở Rộng,vi
Gold Destiny,Vận Mệnh Vàng,vi
Golem,Người Đá,vi
Golemify,Người Đá Càn Quét,vi
Good For Something,Được Này Mất Kia,vi
Graves,Graves,vi
Growth Mindset,Tư Duy Tiến Bộ,vi
Guinsoo's Rageblade,Cuồng Đao Guinsoo,vi
Gunslinger,Xạ Thủ,vi
Gunslinger Emblem,Ấn Xạ Thủ,vi
Gwen,Gwen,vi
Hand Of Justice,Bàn Tay Công Lý,vi
Hard Commit,Chỉ Một Con Đường,vi
Harvester,Bù Nhìn,vi
Haunted Spyglass,Ống Nhòm Ma Ám,vi
Healing Orbs,Cầu Hồi Phục,vi
Heart of Steel,Trái Tim Sắt Đá,vi
Heavy Is the Crown,Vương Miện Nặng Trĩu,vi
Hedge Fund,Quỹ Phòng Hộ,vi
Hefty Rolls,Ván Cờ May Rủi,vi
Hellfire Hatchet,Rìu Hỏa Ngục,vi
Heroic,Siêu Hùng,vi
Heroic Grab Bag,Túi Đồ Siêu Hùng,vi
HexMech,Cơ Giáp Hex,vi
Hexgate Travel,Di Chuyển Bằng Cổng Hextech,vi
Hextech Gunblade,Kiếm Súng Hextech,vi
High Voltage,Sét Cao Thế,vi
Hold the Line,Giữ Vững Hàng Ngũ,vi
Horizon Focus,Kính Nhắm Ma Pháp,vi
Huntress,Nữ Thợ Săn,vi
Illaoi,Illaoi,vi
Immortal,Bất Tử,vi
Indecision,Do Dự,vi
Indiscriminate Killer,Sát Thủ Khát Máu,vi
Infinity Edge,Vô Cực Kiếm,vi
Innervating Locket,Dây Chuyền Tự Lực,vi
Invested,Đầu Tư,vi
Invoker,Thuật Sĩ,vi
Invoker Emblem,Ấn Thuật Sĩ,vi
Ionia,Ionia,vi
Ionia Emblem,Ấn Ionia,vi
Ionic Spark,Nỏ Sét,vi
Iron Assets,Kho Báu Sắt,vi
Item Grab Bag,Tiếp Tế Trang Bị,vi
Ixtal,Ixtal,vi
Ixtal Emblem,Ấn Ixtal,vi
Jarvan IV,Jarvan IV,vi
Jeweled Gauntlet,Găng Bảo Thạch,vi
Jeweled Lotus,Khảm Bảo Thạch,vi
Jhin,Jhin,vi
Jinx,Jinx,vi
Juggernaut,Dũng Sĩ,vi
Juggernaut Emblem,Ấn Dũng Sĩ,vi
Just Hit,Đánh Là Trúng,vi
Kahunahuna,Kamekameha,vi
Kai'Sa,Kai'Sa,vi
Kalista,Kalista,vi
Kennen,Kennen,vi
Kindred,Kindred,vi
Kinetic Barrier,Rào Động Lực,vi
Knight's Vow,Lời Thề Hiệp Sĩ,vi
Kobuko & Yuumi,Kobuko & Yuumi,vi
Kog'Maw,Kog'Maw,vi
Kraken's Fury,Thịnh Nộ Thủy Quái,vi
L-90 カリバーネット,Lưới 90,vi
Last Second Save,Cứu Trong Gang Tấc,vi
Last Whisper,Cung Xanh,vi
Late Game Scaling,Thăng Tiến Cuối Trận,vi
Late Game Specialist,Hướng Đến Hồi Kết,vi
LeBlanc,LeBlanc,vi
Leap of Faith,Bước Nhảy Niềm Tin,vi
Legion of Threes,Quân Đoàn 3 Sao,vi
Leona,Leona,vi
Lesser Mirrored Persona,Hiện Thân Phản Chiếu Cỡ Nhỏ,vi
Level Up!,Khuyến Mãi Kinh Nghiệm,vi
Lich Bane,Kiếm Tai Ương,vi
Lifting Competition,Cuộc Thi Nâng Tạ,vi
Lightshield Crest,Huy Hiệu Lightshield,vi
Lineup,Tiền Tuyến Vững Chãi,vi
Lissandra,Lissandra,vi
Little Buddies,Những Người Bạn Nhỏ,vi
Locket of the Iron Solari,Dây Chuyền Iron Solari,vi
Longshot,Viễn Kích,vi
Longshot Emblem,Ấn Viễn Kích,vi
Loris,Loris,vi
Lucian & Senna,Lucian & Senna,vi
Lucky Doubloon,Đồng Vàng May Mắn,vi
Lucky Gloves,Đo Ni Đóng Giày,vi
Luden's Tempest,Bão Tố Luden,vi
Lulu,Lulu,vi
Lux,Lux,vi
Mace's Will,Ý Chỉ Xích Chùy,vi
Magnetron Coil,Cuộn Từ Trường,vi
Makeshift Armor,Giáp Tự Chế,vi
Malzahar,Malzahar,vi
Mel,Mel,vi
Mending Echoes,Thanh Âm Chữa Lành,vi
Mess Hall,Sảnh Đông Đúc,vi
Micro-Rockets,Tên Lửa Vi Mô,vi
Milio,Milio,vi
Min-Max,Tối Đa Hóa,vi
Mining Drill,Khoan Khai Thác,vi
Mirrored Persona,Hiện Thân Phản Chiếu,vi
Miss Fortune,Miss Fortune,vi
Missed Connections,Kết Nối Gián Đoạn,vi
Mittens,Găng Đấu Sĩ,vi
Momentum Drive,Động Cơ Quán Tính,vi
Money Monsoon,Bão Vàng,vi
Morellonomicon,Quỷ Thư Morello,vi
Nashor's Tooth,Nanh Nashor,vi
Nasus,Nasus,vi
Nautilus,Nautilus,vi
Needlessly Large Rod,Gậy Quá Khổ,vi
Neeko,Neeko,vi
Negatron Cloak,Áo Choàng Bạc,vi
Nidalee,Nidalee,vi
Noxus,Noxus,vi
Noxus Emblem,Ấn Noxus,vi
On a Roll,Trên Đà Phát Triển,vi
"One Buff, Two Buff","Một Bùa, Hai Bùa",vi
One Twos Three,"Một, Hai, Ba",vi
"One, Two, Five!","Một, Hai, Năm!",vi
Orianna,Orianna,vi
Ornn,Ornn,vi
Overclocked Capacitors,Tụ Điện Ép Xung,vi
Pandora's Bench,Hàng Chờ Pandora,vi
Pandora's Items,Trang Bị Pandora,vi
Patience is a Virtue,Kiên Nhẫn Là Một Đức Tính,vi
Pile O' Citrus,Vitamin C,vi
Piltover,Piltover,vi
Piltover Emblem,Ấn Piltover,vi
Piltover Invention,Phát Minh Piltover,vi
Placebo,Giả Dược,vi
Plot Armor,Hào Quang Nhân Vật Chính,vi
Poison Pals,Bộ Đôi Độc Dược,vi
Poppy,Poppy,vi
Portable Forge,Lò Rèn Thần Thoại,vi
Precision and Grace,Chuẩn Xác và Uyển Chuyển,vi
Preparation,Làm Nóng,vi
Prismatic Destiny,Vận Mệnh Kim Cương,vi
Prismatic Ticket,Vé Kim Cương,vi
Promised Protection,Thệ Ước Bảo Hộ,vi
Protector's Vow,Lời Thề Hộ Vệ,vi
Prowler's Claw,Móng Vuốt Ám Muội,vi
Pyromaniac,Hỏa Cuồng Nhân,vi
Qiyana,Qiyana,vi
Quicksilver,Áo Choàng Thủy Ngân,vi
Quickstriker,Cực Tốc,vi
Quickstriker Emblem,Ấn Cực Tốc,vi
Rabadon's Deathcap,Mũ Phù Thủy Rabadon,vi
Radiant Rascal,Quang Lân Tiểu Yêu,vi
Radiant Relics,Kho Thần Tích,vi
Raining Gold,Cơn Mưa Vàng,vi
Rapid Firecannon,Đại Bác Liên Thanh,vi
Realm Warp,Vòng Xoáy Không Gian,vi
Recombobulator,Xoay Bài Tự Động,vi
Recurve Bow,Cung Gỗ,vi
Red Buff,Bùa Đỏ,vi
ReinFOURcement,Tứ Phương Tiếp Viện,vi
Rek'Sai,Rek'Sai,vi
Renekton,Renekton,vi
Replication,Nhân Bản,vi
Restart Mission,Tái Khởi Động Nhiệm Vụ,vi
Retribution,Báo Oán,vi
Rift Herald,Sứ Giả Khe Nứt,vi
Rift Scuttler,Cua Kỳ Cục,vi
Riftscourge,Tai Ương,vi
Rolling For Days,Xúc Xắc Vô Tận,vi
Rumble,Rumble,vi
Rune Mage,Cổ Ngữ,vi
Ryze,Ryze,vi
Savings Account,Tài Khoản Tiết Kiệm,vi
Second Wind,Ngọn Gió Thứ Hai,vi
Seeker's Armguard,Giáp Tay Seeker,vi
Sejuani,Sejuani,vi
Sentinels of Light,Vệ Binh Ánh Sáng,vi
Seraphim's Staff,Trượng Đại Thiên Sứ,vi
Seraphine,Seraphine,vi
Sett,Sett,vi
Shadow Isles,Đảo Bóng Đêm,vi
Shadow Puppet,Bóng Phân Thân,vi
Shen,Shen,vi
Shimmerscale Essence,Tinh Túy Kim Long,vi
Shopping Spree,Tín Đồ Mua Sắm,vi
Shroud of Stillness,Áo Choàng Tĩnh Lặng,vi
Shurima,Shurima,vi
Shyvana,Shyvana,vi
Silco's Revenge,Silco Báo Thù,vi
Silver Destiny,Vận Mệnh Bạc,vi
Silver Spoon,Đặc Quyền Phú Gia,vi
Silvermere Dawn,Chùy Bạch Ngân,vi
Singed,Singed,vi
Sion,Sion,vi
Skarner,Skarner,vi
Slayer,Đồ Tể,vi
Slayer Emblem,Ấn Đồ Tể,vi
Slightly Magic Roll,Quay Trúng Thưởng,vi
Small Grab Bag,Túi Đồ Cỡ Nhỏ,vi
Solo Plate,Khiên Đơn Đấu,vi
Sona,Sona,vi
Soul Awakening,Thức Tỉnh Linh Hồn,vi
Soulbound,Linh Hồn,vi
Sparring Gloves,Găng Đấu Tập,vi
Spatula,Siêu Xẻng,vi
Spear of Shojin,Ngọn Giáo Shojin,vi
Spear's Will,Ý Chỉ Ngọn Giáo,vi
Spectral Cutlass,Gươm Biến Ảnh,vi
Spirit Visage,Giáp Tâm Linh,vi
Spirit of Redemption,Linh Hồn Chuộc Tội,vi
Spreading Roots,Cắm Rễ Phân Tán,vi
Staffsmith,Thợ Rèn Gậy,vi
Stand United,Nhất Thống,vi
Star Forger,Ác Long,vi
Stars Are Born,Toàn Sao Là Sao,vi
Starter Kit,Bộ Khởi Đầu,vi
Statikk Shiv,Dao Điện Statikk,vi
Steadfast Heart,Trái Tim Kiên Định,vi
Sterak's Gage,Móng Vuốt Sterak,vi
Striker's Flail,Chùy Đoản Côn,vi
Sunfire Cape,Áo Choàng Lửa,vi
Superior Lifeform,Thể Dạng Ưu Việt,vi
Suspicious Trench Coat,Áo Choàng Mờ Ám,vi
Swain,Swain,vi
Sweet Treats,Món Quà Ngọt Ngào,vi
Sword Overflow,Đam Mê Kiếm,vi
Swordsmith,Thợ Rèn Kiếm,vi
Sylas,Sylas,vi
Syren's Broadside,Syren Khai Hỏa,vi
T-Hex,T-Hex,vi
Tactician's Cape,Áo Choàng Chiến Thuật,vi
Tactician's Crown,Vương Miện Chiến Thuật,vi
Tactician's Shield,Lá Chắn Chiến Thuật,vi
Tahm Kench,Tahm Kench,vi
Talisman Of Ascension,Bùa Thăng Hoa,vi
Targon,Targon,vi
Taric,Taric,vi
Teaming Up,Lập Đội,vi
Tear of the Goddess,Nước Mắt Nữ Thần,vi
Teemo,Teemo,vi
The Axiomata,Định Luật Nguyên Tố,vi
The Boss,Đại Ca,vi
The Golden Dragon,Kim Long,vi
The Indomitable,Bất Khuất,vi
The Ruined King,Hắc Diệt Đế Vương,vi
The Trait Tree,Cây Tộc Hệ,vi
The World Runes,Cổ Ngữ Thế Giới,vi
Thief's Gloves,Găng Đạo Tặc,vi
Thorn-Plated Armor,Giáp Gai Thép,vi
Thresh,Thresh,vi
Timewinders,Dây Cót Thời Gian,vi
"Tiny, but Deadly",Nhỏ Mà Có Võ,vi
Titan's Resolve,Quyền Năng Khổng Lồ,vi
Titanic Hydra,Rìu Đại Mãng Xà,vi
Tome of Traits,Sách Chọn Ấn,vi
Tons of Stats!,Cộng Mệt Nghỉ!,vi
Trade Sector,Khu Giao Dịch,vi
Training Dummy,Hình Nhân,vi
Treasure Typhoon,Bão Kho Báu,vi
Trials of Twilight,Thử Thách Dưới Ánh Chạng Vạng,vi
Trifecta,Bộ Ba Hoàn Hảo,vi
Tristana,Tristana,vi
Tryndamere,Tryndamere,vi
Tuned Oscillator,Dao Động Tinh Chỉnh,vi
Twin Guardians,Song Vệ,vi
Twisted Fate,Twisted Fate,vi
Two Much Value,2 Vàng Là Nhất,vi
Two Trick,Số 2 May Mắn,vi
U.R.F,U.R.F.,vi
Unending Despair,Áo Choàng Diệt Vong,vi
Unsealed From Steel,Thoát Khỏi Xiềng Thép,vi
Unstable Core,Lõi Bất Ổn,vi
Upgrade!,Nâng Cấp!,vi
Upward Mobility,Đẩy Nhanh Tiến Độ,vi
Vanquisher,Chinh Phạt,vi
Vanquisher Emblem,Ấn Chinh Phạt,vi
Vayne,Vayne,vi
Veigar,Veigar,vi
Vi,Vi,vi
Viego,Viego,vi
Virtue of the Martyr,Quyền Trượng Thánh Quang,vi
Void,Hư Không,vi
Void Emblem,Ấn Hư Không,vi
Void Gauntlet,Găng Hư Không,vi
Void Staff,Trượng Hư Vô,vi
Volibear,Volibear,vi
Voltage Conduit,Dẫn Điện Áp,vi
Wand Overflow,Đam Mê Gậy,vi
Warden,Cảnh Vệ,vi
Warden Emblem,Ấn Cảnh Vệ,vi
Warlord's Honor,Chiến Tướng Khải Hoàn,vi
Warmog's Armor,Giáp Máu Warmog,vi
Warwick,Warwick,vi
Water Axiom,Nguyên Tố Nước,vi
We Stick Together,Kề Vai Sát Cánh,vi
Wild Growth,Khổng Lồ Hóa,vi
Win Out,Toàn Thắng,vi
Wit's End,Đao Tím,vi
Withered Relic,Di Vật Tàn Úa,vi
Wood Axiom,Nguyên Tố Gỗ,vi
World Ender,Quỷ Kiếm,vi
Woven Magic,Ma Thuật Đan Kết,vi
Wukong,Ngộ Không,vi
Xerath,Xerath,vi
Xin Zhao,Xin Zhao,vi
Yasuo,Yasuo,vi
Yone,Yone,vi
Yordle,Yordle,vi
Yordle Emblem,Ấn Yordle,vi
Yorick,Yorick,vi
Yunara,Yunara,vi
Zaahen,Zaahen,vi
Zaun,Zaun,vi
Zaun Emblem,Ấn Zaun,vi
Zeke's Herald,Tụ Bão Zeke,vi
Zephyr,Phong Kiếm,vi
Ziggs,Ziggs,vi
Zilean,Zilean,vi
Zoe,Zoe,vi
Zz'Rot Portal,Thông Đạo Zz'rot,vi
“塞壬号”的舷炮,Syren Khai Hỏa,vi
いつでも一緒,Kề Vai Sát Cánh,vi
おおきくなぁれ！,Khổng Lồ Hóa,vi
お得な2,2 Vàng Là Nhất,vi
ここがセンター,Tiền Vệ Trung Tâm,vi
たっぷりリロール,Ván Cờ May Rủi,vi
ちょっとだけ魔法のダイス,Quay Trúng Thưởng,vi
へら,Siêu Xẻng,vi
もっと怖いキャップ,Mũ Tử Thần,vi
アイオニア,Ionia,vi
アイオニアの紋章,Ấn Ionia,vi
アイオニック スパーク,Nỏ Sét,vi
アイテム福袋,Tiếp Tế Trang Bị,vi
アクシオマタ,Định Luật Nguyên Tố,vi
アクセルゲート,Cổng Tăng Tốc,vi
アシミレーター,Cộng Sinh,vi
アジール,Azir,vi
アセンション,Thăng Hoa,vi
アダプティブ ヘルム,Mũ Thích Nghi,vi
アッシュ,Ashe,vi
アップグレード！,Nâng Cấp!,vi
アニビア,Anivia,vi
アニー,Annie,vi
アフェリオス,Aphelios,vi
アルカニスト,Pháp Sư,vi
アルカニストの紋章,Ấn Pháp Sư,vi
アンベッサ,Ambessa,vi
アークエンジェル スタッフ,Quyền Trượng Thiên Thần,vi
アーマー ナリファイア,Phá Giáp,vi
アーリ,Ahri,vi
イシュタル,Ixtal,vi
イシュタルの紋章,Ấn Ixtal,vi
イモータル,Bất Tử,vi
イラオイ,Illaoi,vi
インフィニティ エッジ,Vô Cực Kiếm,vi
インヴォーカー,Thuật Sĩ,vi
インヴォーカーの紋章,Ấn Thuật Sĩ,vi
イーブンシュラウド,Giáp Vai Nguyệt Thần,vi
ウィッツ エンド,Đao Tím,vi
ウォーロードの名誉,Chiến Tướng Khải Hoàn,vi
ウーコン,Ngộ Không,vi
エイトロックス,Aatrox,vi
エグザイル,Độc Hành,vi
エコー,Ekko,vi
エコーエンジン,Động Cơ Dư Âm,vi
エターナル,Vĩnh Hằng,vi
エピックなロールダウン,Xúc Xắc Hoành Tráng,vi
エルダードラゴン,Rồng Ngàn Tuổi,vi
エレクトリカル オーバーロード,Quá Tải Điện,vi
エンペラー,Hoàng Đế,vi
オリアナ,Orianna,vi
オレリオン・ソル,Aurelion Sol,vi
オーバークロック コンデンサー,Tụ Điện Ép Xung,vi
オーン,Ornn,vi
カイ＝サ,Kai'Sa,vi
カナとカネ,Kho Báu Sắt,vi
カフナフナ,Kamekameha,vi
カリスタ,Kalista,vi
ガリオ,Galio,vi
ガレン,Garen,vi
ガングプランク,Gangplank,vi
ガンスリンガー,Xạ Thủ,vi
ガンスリンガーの紋章,Ấn Xạ Thủ,vi
ガーゴイル ストーンプレート,Thú Tượng Thạch Giáp,vi
キネティックバリア,Rào Động Lực,vi
キャプテンの帽子,Mũ Thuyền Trưởng,vi
キャプテンの醸造酒,Men Rượu Thuyền Trưởng,vi
キヤナ,Qiyana,vi
キンドレッド,Kindred,vi
ギリギリの救出,Cứu Trong Gang Tấc,vi
クイックシルバー,Áo Choàng Thủy Ngân,vi
クラウンの決意,Ý Chí Vương Miện,vi
クラウンガード,Vương Miện Hoàng Gia,vi
クラーケンの怒り,Thịnh Nộ Thủy Quái,vi
クロノキーパー,Giám Hộ,vi
グインソー レイジブレード,Cuồng Đao Guinsoo,vi
グウェン,Gwen,vi
グラスキャノン,Lấy Công Bù Thủ,vi
グラットン,Phàm Ăn,vi
グレイブス,Graves,vi
ケアテイカー,Ông Bụt,vi
ケイトリン,Caitlyn,vi
ケネン,Kennen,vi
ケンカの作法,Giáp Chống Chất Nổ,vi
コグ＝マウ,Kog'Maw,vi
コブコ&ユーミ,Kobuko & Yuumi,vi
コマース コア,Trung Tâm Thương Mại,vi
コンパニオン作成,Người Bạn Vàng,vi
ゴールドの運命,Vận Mệnh Vàng,vi
ゴールドの雨,Cơn Mưa Vàng,vi
ゴーレム,Người Đá,vi
ゴーレム化,Người Đá Càn Quét,vi
サイオン,Sion,vi
サイラス,Sylas,vi
サンファイア ケープ,Áo Choàng Lửa,vi
ザ・ボス,Đại Ca,vi
ザーヘン,Zaahen,vi
シェン,Shen,vi
シマースケールのエッセンス,Tinh Túy Kim Long,vi
シャドウアイル,Đảo Bóng Đêm,vi
シュリーマ,Shurima,vi
ショウジンの矛,Ngọn Giáo Shojin,vi
シルコの復讐,Silco Báo Thù,vi
シルバーの運命,Vận Mệnh Bạc,vi
シルバーミアの夜明け,Chùy Bạch Ngân,vi
シンジド,Singed,vi
シン・ジャオ,Xin Zhao,vi
シヴァーナ,Shyvana,vi
シーカー アームガード,Giáp Tay Seeker,vi
ジグス,Ziggs,vi
ジャイアント スレイヤー,Diệt Khổng Lồ,vi
ジャイアント ベルト,Đai Khổng Lồ,vi
ジャイアント&マイティ,To Lớn & Mạnh Mẽ,vi
ジャガーノート,Dũng Sĩ,vi
ジャガーノートの紋章,Ấn Dũng Sĩ,vi
ジャストヒット,Đánh Là Trúng,vi
ジャーヴァンⅣ,Jarvan IV,vi
ジュエル ガントレット,Găng Bảo Thạch,vi
ジュエル ロータス,Khảm Bảo Thạch,vi
ジリアン,Zilean,vi
ジン,Jhin,vi
ジンクス,Jinx,vi
ジークの使者,Tụ Bão Zeke,vi
ジ＝ロット ポータル,Thông Đạo Zz'rot,vi
スウェイン,Swain,vi
スカーナー,Skarner,vi
スタティック シヴ,Dao Điện Statikk,vi
スターターキット,Bộ Khởi Đầu,vi
スターフォージャー,Ác Long,vi
スター誕生,Toàn Sao Là Sao,vi
ステラックの篭手,Móng Vuốt Sterak,vi
ステータスマシマシ,Cộng Mệt Nghỉ!,vi
ストライカー フレイル,Chùy Đoản Côn,vi
スパーリング グローブ,Găng Đấu Tập,vi
スピリット ビサージュ,Giáp Tâm Linh,vi
スペクトラル カトラス,Gươm Biến Ảnh,vi
スレイヤー,Đồ Tể,vi
スレイヤーの紋章,Ấn Đồ Tể,vi
スレッシュ,Thresh,vi
セイレーン号の片舷砲,Syren Khai Hỏa,vi
セジュアニ,Sejuani,vi
セト,Sett,vi
セラフィムの杖,Trượng Đại Thiên Sứ,vi
セラフィーン,Seraphine,vi
ゼファー,Phong Kiếm,vi
ゼラス,Xerath,vi
ソウルの目覚め,Thức Tỉnh Linh Hồn,vi
ソウルバウンド,Linh Hồn,vi
ソナ,Sona,vi
ソラリのロケット,Dây Chuyền Iron Solari,vi
ソード オーバーフロー,Đam Mê Kiếm,vi
ソーンプレートアーマー,Giáp Gai Thép,vi
ゾウン,Zaun,vi
ゾウンの紋章,Ấn Zaun,vi
ゾーイ,Zoe,vi
